name,full_name,birth_date,age,height,weight,rating,value,heading_accuracy,short_passing,long_passing,acceleration,penalties
C. Eriksen,Christian  Dannemann Eriksen,2/14/1992,27,154.94,76.2,88,69500000,52,91,89,76,67
P. Pogba,Paul Pogba,3/15/1993,25,190.5,83.9,88,73000000,75,86,90,71,82
L. Insigne,Lorenzo Insigne,6/4/1991,27,162.56,59,88,62000000,56,85,78,94,61
K. Koulibaly,Kalidou Koulibaly,6/20/1991,27,187.96,88.9,88,60000000,83,68,60,70,33
V. van Dijk,Virgil van Dijk,7/8/1991,27,193.04,92.1,88,59500000,83,79,81,74,62
K. Mbappé,Kylian Mbappé,12/20/1998,20,152.4,73,88,81000000,77,82,73,96,70
G. Buffon,Gianluigi Buffon,1/28/1978,41,193.04,92.1,88,4000000,13,37,35,44,22
Piqué,Gerard Piqué Bernabéu,2/2/1987,32,193.04,84.8,88,40000000,83,82,80,54,69
S. Handanovič,Samir Handanovič,7/14/1984,34,193.04,92.1,88,30000000,10,36,34,51,23
Thiago Silva,Thiago Emiliano da Silva,9/22/1984,34,182.88,82.1,88,24000000,81,80,80,70,60
H. Lloris,Hugo Lloris,12/26/1986,32,187.96,82.1,88,36000000,10,50,50,65,40
G. Bale,Gareth Frank Bale,7/16/1989,29,185.42,82.1,88,60000000,84,85,80,94,76
M. Hummels,Mats  Hummels,12/16/1988,30,190.5,92.1,88,46000000,87,81,85,53,68
M. Reus,Marco Reus,5/31/1989,29,154.94,71.2,88,58000000,49,86,79,86,89
P. Aubameyang,Pierre-Emerick Aubameyang,6/18/1989,29,187.96,79.8,88,59000000,79,77,64,93,76
Coutinho,Philippe Coutinho Correia,6/12/1992,26,172.72,68,88,69500000,48,87,83,88,70
Fernandinho,Fernando Luiz Rosa,5/4/1985,33,152.4,67.1,87,20500000,66,85,83,68,61
G. Higuaín,Gonzalo Gerardo Higuaín,12/10/1987,31,185.42,88.9,87,48500000,79,74,59,70,70
I. Rakitić,Ivan Rakitić,3/10/1988,30,182.88,78,87,46500000,59,87,90,66,82
J. Vertonghen,Jan Vertonghen,4/24/1987,31,187.96,86.2,87,34000000,80,79,74,61,66
D. Mertens,Dries Mertens,5/6/1987,31,170.18,60.8,87,45000000,35,82,74,93,79
Marcelo,Marcelo Vieira da Silva Júnior,5/12/1988,30,175.26,79.8,87,36500000,75,84,78,83,59
T. Alderweireld,Toby Alderweireld,3/2/1989,30,185.42,81.2,87,44000000,82,79,85,61,58
Jordi Alba,Jordi Alba Ramos,3/21/1989,29,170.18,68,87,38000000,70,84,74,93,59
Thiago,Thiago Alcântara do Nascimento,4/11/1991,27,175.26,69.9,87,51500000,54,90,87,78,75
C. Immobile,Ciro Immobile,2/20/1990,29,185.42,84.8,87,52000000,81,74,49,78,78
K. Navas,Keylor Navas,12/15/1986,32,185.42,79.8,87,30500000,11,30,37,54,25
Isco,Francisco Román Alarcón Suárez,4/21/1992,26,175.26,78.9,87,62500000,55,86,81,75,76
J. Rodríguez,James David Rodríguez Rubio,7/12/1991,27,154.94,74.8,87,59000000,62,89,83,73,81
Casemiro,Carlos Henrique Venancio Casimiro,2/23/1992,27,185.42,83.9,87,50500000,76,83,82,61,66
M. Icardi,Mauro Emanuel Icardi Rivero,2/19/1993,26,154.94,74.8,87,64500000,91,73,54,77,82
R. Sterling,Raheem Sterling,12/8/1994,24,170.18,68.9,87,62000000,38,84,69,95,69
S. Umtiti,Samuel Umtiti,11/14/1993,25,182.88,74.8,87,57000000,79,81,73,71,61
Alisson,Alisson Ramses Becker,10/2/1992,26,190.5,91.2,87,46000000,19,45,44,54,23
M. Škriniar,Milan Škriniar,2/11/1995,24,187.96,79.8,86,53500000,82,73,69,70,56
K. Benzema,Karim Benzema,12/19/1987,31,185.42,81.2,86,43000000,80,83,70,78,82
M. Pjanić,Miralem Pjanić,4/2/1990,28,152.4,72.1,86,44000000,60,89,85,66,79
L. Bonucci,Leonardo Bonucci,5/1/1987,31,190.5,84.8,86,30000000,86,77,85,57,70
Azpilicueta,César Azpilicueta Tanco,8/28/1989,29,152.4,76.2,86,35000000,76,81,80,76,66
W. Szczęsny,Wojciech  Szczęsny,4/18/1990,28,195.58,89.8,86,37000000,16,32,36,51,18
T. Müller,Thomas Müller,9/13/1989,29,185.42,74.8,86,45000000,82,83,72,73,60
Alex Sandro,Alex Sandro Lobo Silva,1/26/1991,28,154.94,79.8,86,36500000,76,81,71,83,60
R. Lukaku,Romelu Lukaku,5/13/1993,25,190.5,93.9,86,55000000,85,76,73,75,78
M. Verratti,Marco Verratti,11/5/1992,26,165.1,59.9,86,55000000,55,90,89,69,64
R. Varane,Raphaël Varane,4/25/1993,25,190.5,81.2,86,50000000,83,75,76,83,43
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,10/2/1991,27,154.94,76.2,86,53000000,77,86,75,78,72
S. Mané,Sadio Mané,4/10/1992,26,175.26,68.9,86,52000000,62,79,71,95,71
Ederson,Ederson Santana de Moraes,8/17/1993,25,187.96,86.2,86,41500000,14,56,58,64,17
J. Kimmich,Joshua Kimmich,2/8/1995,24,175.26,69.9,86,45000000,74,87,83,78,44
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,8/10/1994,24,172.72,64,86,59500000,51,85,79,86,68
L. Sané,Leroy Sané,1/11/1996,23,182.88,74.8,86,61000000,72,79,64,93,71
Iniesta,Andrés Iniesta Luján,5/11/1984,34,170.18,68,85,18500000,54,90,84,70,71
Z. Ibrahimović,Zlatan Ibrahimović,10/3/1981,37,195.58,94.8,85,14000000,83,79,73,58,89
Pepe,Képler Laveran Lima Ferreira,2/26/1983,36,187.96,81.2,85,9000000,80,70,61,65,57
V. Kompany,Vincent Kompany,4/10/1986,32,190.5,84.8,85,22000000,83,73,66,50,63
Filipe Luís,Filipe Luís Kasmirski,8/9/1985,33,182.88,73.9,85,21500000,72,80,77,76,65
B. Matuidi,Blaise Matuidi,4/9/1987,31,154.94,74.8,85,26000000,68,83,77,79,56
M. Özil,Mesut Özil,10/15/1988,30,154.94,76.2,85,37500000,51,89,82,72,67
A. Witsel,Axel  Witsel,1/12/1989,30,187.96,81.2,85,30000000,81,89,84,67,83
R. Nainggolan,Radja Nainggolan,5/4/1988,30,175.26,77.1,85,35500000,59,84,81,78,63
E. Džeko,Edin Džeko,3/17/1986,32,193.04,79.8,85,30500000,83,77,72,65,67
I. Perišić,Ivan Perišić,2/2/1989,30,185.42,79.8,85,37500000,80,81,77,84,76
M. Mandžukić,Mario Mandžukić,5/21/1986,32,190.5,84.8,85,30500000,90,75,67,67,76
A. Vidal,Arturo Vidal,5/22/1987,31,154.94,74.8,85,33000000,82,83,82,67,81
A. Di María,Ángel Fabián Di María Hernández,2/14/1988,31,154.94,68.9,85,36500000,51,83,79,85,73
J. Boateng,Jérôme Boateng,9/3/1988,30,193.04,89.8,85,30000000,85,75,83,67,46
Y. Brahimi,Yacine Brahimi,2/8/1990,29,175.26,66.2,85,39000000,46,79,72,87,75
Paulinho,José Paulo Bezzera Maciel Júnior,7/25/1988,30,182.88,71.2,85,37000000,85,84,80,73,71
Parejo,Daniel Parejo Muñoz,4/16/1989,29,182.88,73.9,85,37000000,61,91,88,54,83
Douglas Costa,Douglas Costa de Souza,9/14/1990,28,172.72,69.9,85,40500000,50,84,68,97,77
K. Manolas,Kostas Manolas,6/14/1991,27,187.96,83,85,36500000,80,60,61,82,26
A. Lacazette,Alexandre Lacazette,5/28/1991,27,175.26,73,85,45000000,73,80,59,81,84
Koke,Jorge Resurrección Merodio,1/8/1992,27,175.26,73.9,85,41500000,61,89,87,71,59
A. Lopes,Anthony Lopes,10/1/1990,28,182.88,81.2,85,31000000,16,32,31,63,16
H. Son,손흥민 孙兴慜,7/8/1992,26,182.88,64.9,85,46000000,65,81,65,88,71
R. Mahrez,Riyad Mahrez,2/21/1991,28,152.4,67.1,85,40500000,48,79,75,88,70
Carvajal,Daniel Carvajal Ramos,1/11/1992,27,172.72,73,85,36500000,70,83,74,80,45
Marquinhos,Marcos  Aoás Corrêa,5/14/1994,24,182.88,74.8,85,43500000,84,81,78,73,37
Saúl,Saúl Ñíguez Esclápez,11/21/1994,24,182.88,77.1,85,50500000,83,85,83,74,55
D. Alli,Bamidele Alli,4/11/1996,22,187.96,79.8,85,51500000,83,85,80,73,74
A. Laporte,Aymeric  Laporte,5/27/1994,24,187.96,84.8,85,41000000,85,77,78,62,44
S. Milinković-Savić,Sergej Milinković-Savić,2/27/1995,24,190.5,76.2,85,50500000,86,85,85,68,56
Kepa,Kepa Arrizabalaga,10/3/1994,24,185.42,84.8,84,31000000,17,32,36,34,24
H. Ziyech,Hakim Ziyech,3/19/1993,25,154.94,64.9,84,38000000,53,86,89,76,72
Fabinho,Fábio Henrique Tavares,10/23/1993,25,187.96,78,84,34000000,75,83,80,69,91
A. Martial,Anthony Martial,12/5/1995,23,182.88,76.2,84,42500000,69,78,60,88,81
T. Werner,Timo Werner,3/6/1996,23,154.94,74.8,84,40000000,77,77,55,93,72
N. Süle,Niklas Süle,9/3/1995,23,195.58,97.1,84,36500000,86,78,63,52,32
Bruno Fernandes,Bruno Miguel Borges Fernandes,9/8/1994,24,152.4,68.9,84,40500000,58,85,84,79,82
Alex Telles,Alex Nicolao Telles,12/15/1992,26,154.94,71.2,84,31000000,74,83,86,84,73
J. Giménez,José María Giménez de Vargas,1/20/1995,24,185.42,79.8,84,34000000,81,68,58,69,38
N. Fekir,Nabil Fekir,7/18/1993,25,172.72,74.8,84,40500000,49,83,75,79,76
D. Sánchez,Davinson Sánchez,6/12/1996,22,187.96,78.9,84,34000000,80,77,67,72,44
Marco Asensio,Marco Asensio Willemsen,1/21/1996,23,182.88,76.2,84,41500000,57,83,81,85,62
O. Dembélé,Ousmane Dembélé,5/15/1997,21,152.4,67.1,84,46000000,43,79,70,94,75
A. Robben,Arjen Robben,1/23/1984,35,154.94,79.8,84,15500000,51,82,71,83,78
Quaresma,Ricardo Andrade Quaresma Bernardo,9/26/1983,35,175.26,67.1,84,15500000,41,79,75,81,74
A. Gómez,Alejandro Darío Gómez,2/15/1988,31,165.1,68,84,30000000,38,82,74,94,72
Raúl Albiol,Raúl Albiol Tortajada,9/4/1985,33,190.5,82.1,84,18000000,77,74,72,54,37
Falcao,Radamel Falcao García Zárate,2/10/1986,33,152.4,72.1,84,25000000,89,79,58,69,81
S. Ruffier,Stéphane Ruffier,9/27/1986,32,187.96,93,84,19000000,12,33,34,45,25
Miranda,João Miranda de Souza Filho,9/7/1984,34,185.42,78,84,12500000,80,70,69,66,49
Naldo,Ronaldo  Aparecido Rodrigues,9/10/1982,36,198.12,91.2,84,7500000,93,74,70,60,60
Y. Sommer,Yann Sommer,12/17/1988,30,182.88,78.9,84,24000000,10,40,31,48,24
E. Banega,Éver Maximiliano David Banega,6/29/1988,30,175.26,71.2,84,29000000,49,88,87,68,78
Diego Costa,Diego da Silva Costa,10/7/1988,30,187.96,86.2,84,31000000,82,65,52,74,75
S. Khedira,Sami Khedira,4/4/1987,31,187.96,89.8,84,26500000,76,85,82,54,69
Willian,Willian Borges da Silva,8/9/1988,30,175.26,78,84,30500000,31,80,77,91,70
A. Sánchez,Alexis Alejandro Sánchez Sánchez,12/19/1988,30,170.18,62.1,84,30500000,70,76,75,86,74
José Callejón,José María Callejón Bueno,2/11/1987,32,152.4,73,84,27500000,65,80,51,88,62
I. Gündoğan,İlkay Gündoğan,10/24/1990,28,154.94,79.8,84,32000000,50,88,84,67,76
K. Walker,Kyle Walker,5/28/1990,28,182.88,69.9,84,24500000,74,78,75,86,63
R. Bürki,Roman Bürki,11/14/1990,28,187.96,84.8,84,24000000,17,37,24,44,20
Illarramendi,Asier Illarramendi Andonegi,3/8/1990,29,152.4,74.8,84,25000000,51,86,82,66,50
L. Hrádecký,Lukáš Hrádecký,11/24/1989,29,193.04,84.8,84,22000000,11,15,20,38,20
N. Matić,Nemanja Matić,8/1/1988,30,193.04,84.8,84,24000000,74,84,82,52,64
N. Otamendi,Nicolás Hernán Otamendi,2/12/1988,31,182.88,81.2,84,23000000,84,75,72,57,45
Iago Aspas,Iago Aspas Juncal,8/1/1987,31,175.26,67.1,84,30000000,78,79,64,85,82
J. Cuadrado,Juan Cuadrado,5/26/1988,30,152.4,72.1,84,29500000,58,80,69,89,65
D. Alaba,David Olatukunbo Alaba,6/24/1992,26,154.94,76.2,84,30500000,75,82,79,79,79
M. Perin,Mattia Perin,11/10/1992,26,187.96,77.1,84,29500000,12,33,31,57,21
S. de Vrij,Stefan de Vrij,2/5/1992,27,187.96,78,84,31500000,80,71,71,67,41
Allan,Allan Marques Loureiro,1/8/1991,28,175.26,73.9,84,32000000,59,85,78,81,53
Felipe Anderson,Felipe  Anderson Pereira Gomes,4/15/1993,25,175.26,69.9,84,38000000,44,81,76,92,53
M. Depay,Memphis Depay,2/13/1994,25,175.26,78,84,41000000,65,80,74,87,71
F. Thauvin,Florian Thauvin,1/26/1993,26,152.4,69.9,84,37000000,75,83,76,87,74
Jorginho,Luiz Frello Filho Jorge,12/20/1991,27,154.94,67.1,83,30000000,56,89,87,70,84
E. Višća,Edin Višća,2/17/1990,29,172.72,63,83,26000000,45,82,71,90,75
S. Gnabry,Serge Gnabry,7/14/1995,23,175.26,74.8,83,34000000,46,79,68,92,68
M. Kovačić,Mateo Kovačić,5/6/1994,24,175.26,78,83,35000000,42,87,82,84,59
William Carvalho,William Silva de Carvalho,4/7/1992,26,187.96,83,83,27000000,73,81,84,62,60
Felipe,Felipe Augusto de Almeida Monteiro,5/16/1989,29,190.5,86.2,83,22500000,81,74,67,60,47
Y. Carrasco,Yannick Ferreira Carrasco,9/4/1993,25,154.94,73,83,33000000,53,77,71,89,74
Lucas Vázquez,Lucas Vázquez Iglesias,7/1/1991,27,172.72,69.9,83,27000000,56,83,75,86,56
Q. Promes,Quincy Anton Promes,1/4/1992,27,175.26,72.1,83,28000000,60,78,73,90,74
L. Goretzka,Leon Goretzka,2/6/1995,24,187.96,78.9,83,34000000,80,84,79,84,60
A. Rabiot,Adrien Rabiot,4/3/1995,23,193.04,79.8,83,33000000,77,85,83,73,67
A. Romagnoli,Alessio Romagnoli,1/12/1995,24,187.96,78,83,31000000,77,72,71,63,34
João Cancelo,João Pedro Cavaco Cancelo,5/27/1994,24,182.88,73.9,83,29500000,64,79,75,91,46
Anderson Talisca,Anderson Souza Conceição,2/1/1994,25,190.5,79.8,83,34000000,77,81,79,77,71
K. Coman,Kingsley Coman,6/13/1996,22,152.4,71.2,83,34500000,52,77,63,95,70
T. Lemar,Thomas Lemar,11/12/1995,23,170.18,62.1,83,35500000,54,84,75,86,68
Casillas,Iker Casillas Fernández,5/20/1981,37,185.42,83.9,83,1700000,25,21,22,56,24
D. De Rossi,Daniele De Rossi,7/24/1983,35,182.88,83,83,8000000,81,81,80,63,80
R. Jarstein,Rune  Almenning Jarstein,9/29/1984,34,190.5,82.1,83,13000000,16,34,34,40,13
A. Barzagli,Andrea Barzagli,5/8/1981,37,187.96,87.1,83,3500000,70,63,65,61,60
F. Ribéry,Franck Bilal Ribéry,4/7/1983,35,170.18,72.1,83,11500000,41,83,74,78,78
K. Schmeichel,Kasper Schmeichel,11/5/1986,32,187.96,88.9,83,15500000,16,44,46,56,26
S. Sirigu,Salvatore Sirigu,1/12/1987,32,193.04,79.8,83,15500000,11,23,28,50,19
Sokratis,Sokratis Papastathopoulos,6/9/1988,30,185.42,84.8,83,19000000,85,60,51,66,24
Lucas Leiva,Lucas  Pezzini Leiva,1/9/1987,32,152.4,78,83,17500000,72,82,81,67,61
Jonas,Jonas Gonçalves Oliveira,4/1/1984,34,154.94,73.9,83,13500000,82,76,75,64,84
D. Payet,Dimitri  Payet,3/29/1987,31,175.26,77.1,83,22500000,59,84,80,75,74
L. Bender,Lars Bender,4/27/1989,29,185.42,81.2,83,20000000,78,79,74,66,52
Javi Martínez,Javier Martínez Aginaga,9/2/1988,30,193.04,86.2,83,20000000,87,77,74,49,52
Rui Patrício,Rui Pedro dos Santos Patrício,2/15/1988,31,190.5,83.9,83,16500000,11,31,30,53,32
Sergio Asenjo,Sergio  Asenjo Andrés,6/28/1989,29,187.96,87.1,83,20000000,13,39,39,59,15
David Luiz,David Luiz Moreira Marinho,4/22/1987,31,187.96,86.2,83,17500000,81,77,82,60,75
G. Wijnaldum,Georginio Wijnaldum,11/11/1990,28,175.26,68.9,83,26500000,72,85,78,79,74
A. Kolarov,Aleksandar Kolarov,11/10/1985,33,187.96,81.2,83,14500000,80,78,77,74,80
Oscar,Oscar dos Santos Emboaba Júnior,9/9/1991,27,152.4,66.2,83,30500000,54,86,82,75,70
B. Dost,Bas Dost,5/31/1989,29,195.58,88.9,83,26000000,94,73,37,49,90
Canales,Sergio Canales Madrazo,2/16/1991,28,154.94,73.9,83,27000000,46,84,77,79,72
B. Leno,Bernd Leno,3/4/1992,27,190.5,83,83,22500000,13,45,42,46,23
Marcos Alonso,Marcos Alonso Mendoza,12/28/1990,28,187.96,87.1,83,21500000,83,84,73,69,64
K. Casteels,Koen Casteels,6/25/1992,26,198.12,86.2,83,21500000,14,35,37,44,20
I. Gueye,Idrissa Gana Gueye,9/26/1989,29,175.26,66.2,83,21000000,69,78,72,76,54
O. Baumann,Oliver Baumann,6/2/1990,28,187.96,82.1,83,21000000,16,30,25,47,22
Neto,Norberto Murara Neto,7/19/1989,29,190.5,83.9,83,21000000,14,36,41,53,22
K. Kampl,Kevin Kampl,10/9/1990,28,152.4,67.1,83,26500000,34,84,79,84,64
Pizzi,Luís Miguel Afonso Fernandes,10/6/1989,29,152.4,72.1,83,25500000,45,83,84,82,76
Rodrigo,Rodrigo Moreno Machado,3/6/1991,28,182.88,77.1,83,30500000,80,78,58,88,77
Pablo Sarabia,Pablo Sarabia García,5/11/1992,26,175.26,69.9,83,30500000,61,83,79,75,69
Sergi Roberto,Sergio Roberto Carnicer,2/7/1992,27,152.4,68,83,24500000,72,85,78,78,57
F. Acerbi,Francesco Acerbi,2/10/1988,31,193.04,88,83,19000000,80,73,77,65,72
T. Horn,Timo Horn,5/12/1993,25,193.04,89.8,83,23000000,14,35,32,45,21
Nacho Fernández,José Ignacio Fernández Iglesias,1/18/1990,29,154.94,76.2,83,23500000,82,80,61,70,45
Danilo Pereira,Danilo Luís Hélio Pereira,9/9/1991,27,187.96,83,83,26000000,78,82,79,63,52
Lucas Moura,Lucas Rodrigues M. Silva,8/13/1992,26,175.26,69.9,83,31000000,50,77,74,94,74
J. Draxler,Julian Draxler,9/20/1993,25,187.96,77.1,83,32500000,65,84,79,78,63
Suso,Jesús Joaquín Fernández Sáez,11/19/1993,25,175.26,69.9,83,32000000,50,86,75,83,72
T. Hazard,Thorgan Hazard,3/29/1993,25,175.26,68.9,83,31000000,38,82,73,86,81
J. Stones,John Stones,5/28/1994,24,187.96,69.9,83,28500000,83,81,74,67,44
S. Savić,Stefan Savić,1/8/1991,28,187.96,78.9,83,25500000,85,72,69,55,37
J. Pickford,Jordan Pickford,3/7/1994,25,185.42,77.1,83,25000000,15,55,55,53,41
A. Robertson,Andrew Robertson,3/11/1994,24,152.4,64,83,29000000,63,76,68,83,55
A. Kramarić,Andrej Kramarić,6/19/1991,27,152.4,73,83,30500000,69,79,53,78,91
C. Tolisso,Corentin Tolisso,8/3/1994,24,154.94,81.2,83,34000000,82,84,86,75,70
L. Hernández,Lucas Hernández,2/14/1996,23,182.88,76.2,83,29500000,82,80,63,80,42
N. Keïta,Naby Keïta,2/10/1995,24,172.72,64,83,34000000,42,87,77,78,58
P. Kimpembe,Presnel Kimpembe,8/13/1995,23,187.96,79.8,83,30500000,79,79,75,75,50
Louri Beretta,Lourival Adnan Beretta Barbosa,2/29/1992,27,187.96,83,83,28500000,83,73,47,79,77
Josué Chiamulera,Josué Durval Chiamulera Vaz,2/29/1992,27,185.42,79.8,83,22500000,83,74,61,83,56
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,2/29/1992,27,152.4,74.8,83,28000000,64,83,82,88,77
Gabriel Jesus,Gabriel Fernando de Jesus,4/3/1997,21,175.26,73,83,41000000,75,76,66,87,78
G. Donnarumma,Gianluigi Donnarumma,2/25/1999,20,195.58,89.8,83,33500000,12,34,24,46,24
M. Rashford,Marcus Rashford,10/31/1997,21,185.42,69.9,83,37500000,73,76,65,90,74
M. de Ligt,Matthijs de Ligt,8/12/1999,19,187.96,88.9,83,31500000,82,75,72,62,40
J. Tah,Jonathan Tah,2/11/1996,23,195.58,97.1,82,25000000,80,74,69,64,38
M. Politano,Matteo Politano,8/3/1993,25,170.18,67.1,82,28000000,40,80,76,85,70
C. Lenglet,Clément Lenglet,6/17/1995,23,185.42,81.2,82,26000000,80,78,69,72,43
Pau López,Pau López Sabata,12/13/1994,24,187.96,77.1,82,21500000,15,38,41,45,25
H. Lozano,Hirving Rodrigo Lozano Bahena,7/30/1995,23,175.26,69.9,82,29500000,58,74,67,94,64
Malcom,Malcom Filipe Silva de Oliveira,2/26/1997,22,172.72,73.9,82,31500000,57,80,73,87,68
L. Torreira,Lucas Torreira Di Pascua,2/11/1996,23,167.64,64,82,25000000,59,83,77,81,48
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,11/29/1996,22,152.4,68,82,29000000,60,77,69,89,69
G. Lo Celso,Giovani Lo Celso,4/9/1996,22,175.26,69.9,82,30000000,59,82,84,77,60
Fabián,Fabián Ruiz Peña,4/3/1996,22,187.96,69.9,82,32000000,67,80,80,69,67
F. de Jong,Frenkie de Jong,5/12/1997,21,154.94,69.9,82,31000000,64,87,82,80,45
Raphaelito Anjos,Raphael William Anjos Rochedo,2/29/1988,31,190.5,84.8,82,14000000,11,18,16,41,14
Juiano Mestres,Juan Everton Mestres de Mesquita,2/29/1984,35,154.94,82.1,82,6500000,83,67,58,68,62
Rosberto Dourado,Rosberto J. Dourado Santos,2/29/1988,31,175.26,69.9,82,16500000,70,82,78,80,77
Arthur,Arthur Henrique Ramos Oliveira Melo,8/12/1996,22,170.18,73,82,32500000,58,86,80,68,69
Rodri,Rodrigo Hernández Cascante,6/22/1996,22,190.5,82.1,82,29000000,75,84,80,70,46
M. Parolo,Marco Parolo,1/25/1985,34,182.88,74.8,82,9000000,75,80,83,68,45
M. Kruse,Max Kruse,3/19/1988,30,154.94,76.2,82,21500000,63,84,80,69,91
J. Henderson,Jordan Brian Henderson,6/17/1990,28,182.88,79.8,82,18000000,65,84,84,67,64
N. Gaitán,Osvaldo Nicolás Fabián Gaitán,2/23/1988,31,172.72,66.2,82,21000000,54,81,75,84,71
M. Arnautović,Marko Arnautović,4/19/1989,29,193.04,83,82,22000000,74,78,74,79,77
S. Giovinco,Sebastian Giovinco,1/26/1987,32,162.56,60.8,82,20000000,34,80,76,88,73
G. Sigurðsson,Gylfi Þór Sigurðsson,9/8/1989,29,185.42,77.1,82,22500000,60,85,80,58,79
Giuliano,Giuliano Victor de Paula,5/31/1990,28,172.72,68,82,22500000,59,82,80,85,79
P. Gulácsi,Péter Gulácsi,5/6/1990,28,193.04,86.2,82,18000000,23,29,25,42,24
Luiz Gustavo,Luiz Gustavo Dias,7/23/1987,31,187.96,78,82,16500000,72,79,76,63,58
K. Trippier,Kieran Trippier,9/19/1990,28,152.4,72.1,82,18500000,73,79,78,76,66
A. Ramsey,Aaron Ramsey,12/26/1990,28,182.88,76.2,82,23000000,58,84,80,65,75
M. Balotelli,Mario  Barwuah Balotelli,8/12/1990,28,187.96,88,82,23500000,67,78,66,75,92
Marlos,Marlos Romero Bonfim,6/7/1988,30,175.26,68.9,82,21000000,53,81,73,85,80
Taison,Taison Barcellos Freda,1/13/1988,31,172.72,64,82,21000000,56,77,75,93,72
G. Bonaventura,Giacomo Bonaventura,8/22/1989,29,154.94,74.8,82,22000000,70,84,80,75,68
Pepe Reina,José Manuel  Reina Páez,8/31/1982,36,187.96,92.1,82,5000000,13,19,22,50,24
P. Čech,Petr Čech,5/20/1982,36,195.58,89.8,82,3000000,19,35,33,35,23
Aduriz,Aritz Aduriz Zubeldia,2/11/1981,38,182.88,78,82,8000000,92,72,52,64,86
Dani Alves,Daniel Alves da Silva,5/6/1983,35,172.72,68,82,4800000,72,81,79,77,70
H. Herrera,Héctor Miguel Herrera López,4/19/1990,28,182.88,72.1,82,22000000,59,79,76,71,64
L. Biglia,Lucas Rodrigo Biglia,1/30/1986,33,152.4,63,82,12500000,54,86,82,65,72
F. Quagliarella,Fabio Quagliarella,1/31/1983,36,154.94,78.9,82,10000000,68,76,73,73,84
M. Dembélé,Moussa Sidi Yaya Dembélé,7/16/1987,31,185.42,82.1,82,,70,85,80,72,63
João Moutinho,João Filipe Iria Santos Moutinho,9/8/1986,32,170.18,60.8,82,19000000,70,84,83,66,70
Cesc Fàbregas,Francesc Fàbregas i Soler,5/4/1987,31,152.4,77.1,82,19000000,74,90,89,56,78
A. Consigli,Andrea Consigli,1/27/1987,32,187.96,82.1,82,13500000,10,31,27,48,21
